;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
-;Patty MillsBKN;PG;40;14.2;6.2;2.2;5.2;41.1;1.2;3.4;36.6;0.6;0.8;83.3;1.1;1.4;0.4;0.1;0.8;0;0
-;Keon JohnsonPOR;SG;40;10.4;4.7;1.7;4.5;37.6;0.7;2.0;34.6;0.7;1.0;65.9;1.1;1.5;0.5;0.2;1.1;0;0
-;Amir CoffeyLAC;SG;50;12.5;3.4;1.1;2.9;38.6;0.2;0.8;27.5;1.0;1.3;77.8;1.1;1.1;0.1;0.1;0.4;0;0
-;Kennedy ChandlerMEM;G;36;7.8;2.2;1.0;2.3;42.2;0.1;0.4;13.3;0.2;0.4;46.2;1.1;1.6;0.3;0.1;0.5;0;0
-;Chima MonekeSAC;F;2;4.0;1.0;0.5;1.0;50.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.0;0.0;1.0;0;0
-;Jack WhiteDEN;F;17;3.9;1.2;0.5;1.1;42.1;0.2;0.5;33.3;0.1;0.2;66.7;1.0;0.2;0.2;0.1;0.1;0;0
-;Lindell WiggintonMIL;G;7;12.4;7.1;2.6;5.3;48.6;0.9;2.6;33.3;1.1;1.3;88.9;1.0;2.0;0.0;0.3;1.7;1;0
-;Cole SwiderLAL;F;7;5.9;1.3;0.4;1.3;33.3;0.4;1.1;37.5;0.0;0.0;0.0;1.0;0.6;0.0;0.0;0.0;0;0
-;Vince Williams Jr.MEM;G;15;7.0;2.0;0.8;2.7;30.0;0.3;1.9;14.3;0.1;0.1;100.0;1.0;0.3;0.4;0.1;0.3;0;0
-;Vernon Carey Jr.WSH;C;11;2.5;0.5;0.2;0.7;25.0;0.0;0.0;0.0;0.2;0.2;100.0;1.0;0.3;0.2;0.2;0.2;0;0
-;Kendall BrownIND;SG;6;6.7;1.5;0.7;1.2;57.1;0.0;0.2;0.0;0.2;0.3;50.0;1.0;0.5;0.7;0.0;0.3;0;0
-;Ryan RollinsGS;G;12;5.2;1.9;0.6;1.7;35.0;0.3;0.8;33.3;0.5;0.5;100.0;1.0;0.5;0.1;0.1;1.3;0;0
-;Alondes WilliamsBKN;G;1;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0;0
-;Donovan WilliamsATL;G;2;2.0;2.0;1.0;2.5;40.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0
-;Dalen TerryCHI;F;38;5.6;2.2;0.8;1.9;44.4;0.2;0.7;25.9;0.4;0.6;66.7;1.0;0.6;0.3;0.1;0.2;0;0
-;KZ OkpalaSAC;SF;35;7.1;1.3;0.5;1.1;42.1;0.2;0.6;33.3;0.2;0.2;87.5;1.0;0.4;0.2;0.2;0.2;0;0
-;Raul NetoCLE;PG;48;10.5;3.3;1.2;2.3;51.8;0.3;0.9;28.6;0.6;0.7;91.2;1.0;1.6;0.4;0.1;0.5;0;0
-;Jeff Dowtin Jr.TOR;PG;25;10.4;2.4;1.0;2.3;43.9;0.2;0.6;31.3;0.2;0.4;66.7;0.9;1.2;0.4;0.1;0.2;0;0
-;Tony BradleyCHI;C;12;2.8;1.6;0.5;1.0;50.0;0.3;0.4;60.0;0.3;0.3;100.0;0.9;0.1;0.1;0.1;0.1;0;0
-;Vit KrejciATL;G;29;5.7;1.2;0.5;1.3;40.5;0.2;0.7;23.8;0.0;0.1;50.0;0.9;0.6;0.2;0.0;0.2;0;0
-;John Butler Jr.POR;F;19;11.6;2.4;0.9;2.8;32.1;0.4;1.8;22.9;0.2;0.2;75.0;0.9;0.6;0.4;0.5;0.1;0;0
-;Quenton JacksonWSH;G;9;15.0;6.2;2.1;4.7;45.2;0.1;1.3;8.3;1.9;2.4;77.3;0.9;1.7;0.4;0.1;0.4;0;0
-;PJ DozierSAC;G;16;4.9;1.4;0.6;2.1;30.3;0.1;1.0;12.5;0.0;0.0;0.0;0.9;0.6;0.4;0.1;0.3;0;0
-;Jaden SpringerPHI;G;16;5.6;2.6;1.1;2.2;48.6;0.1;0.3;40.0;0.4;0.5;75.0;0.9;0.5;0.4;0.2;0.2;0;0
-;Kobi SimmonsCHA;G;5;5.6;1.0;0.2;1.2;16.7;0.2;1.0;20.0;0.4;0.4;100.0;0.8;1.0;0.0;0.4;0.2;0;0
506;Miles McBrideNY;PG;64;11.9;3.5;1.2;3.4;35.8;0.6;2.1;29.9;0.4;0.7;66.7;0.8;1.1;0.6;0.1;0.4;0;0
-;Ron Harper Jr.TOR;F;9;5.3;2.2;0.9;1.8;50.0;0.3;1.0;33.3;0.1;0.1;100.0;0.8;0.4;0.0;0.1;0.0;0;0
-;Matt RyanLAL/MIN;F;34;9.1;3.6;1.2;3.2;37.0;0.9;2.5;38.1;0.3;0.4;83.3;0.8;0.5;0.1;0.0;0.2;0;0
-;Ryan ArcidiaconoPOR/NY;G;20;8.6;1.3;0.5;1.9;24.3;0.4;1.2;34.8;0.0;0.0;0.0;0.8;1.2;0.3;0.0;0.4;0;0
-;Xavier MoonLAC;PG;4;5.0;1.8;0.8;2.3;33.3;0.3;0.8;33.3;0.0;0.0;0.0;0.8;1.3;0.0;0.0;0.3;0;0
-;Tyrese MartinATL;G;16;4.1;1.3;0.6;1.4;39.1;0.1;0.4;14.3;0.1;0.1;100.0;0.8;0.1;0.1;0.0;0.1;0;0
-;Lester QuinonesGS;G;4;4.5;2.5;0.5;1.3;40.0;0.5;1.0;50.0;1.0;1.5;66.7;0.8;0.5;0.3;0.0;1.3;0;0
-;JD DavisonBOS;SG;12;5.5;1.6;0.7;1.6;42.1;0.2;0.6;28.6;0.1;0.2;50.0;0.8;0.9;0.2;0.2;0.3;0;0
-;Justin JacksonBOS;SF;23;4.7;0.9;0.3;1.2;25.9;0.2;0.9;25.0;0.0;0.1;50.0;0.7;0.4;0.2;0.2;0.1;0;0
-;Carlik JonesCHI;G;7;8.0;2.9;0.9;2.1;40.0;0.4;0.9;50.0;0.7;1.1;62.5;0.7;0.9;0.3;0.0;0.3;0;0
-;Garrett TempleNO;SF;25;6.5;2.0;0.7;1.8;40.0;0.4;1.0;42.3;0.1;0.2;75.0;0.7;0.5;0.4;0.1;0.2;0;0
-;Tyler DorseyDAL;G;3;2.7;3.0;1.3;1.7;80.0;0.3;0.7;50.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0;0
-;Jared ButlerOKC;SG;6;12.8;6.2;2.5;5.3;46.9;1.2;2.3;50.0;0.0;0.0;0.0;0.7;1.3;0.8;0.0;0.8;0;0
-;Scotty Pippen Jr.LAL;G;6;5.3;2.3;0.7;2.0;33.3;0.2;0.5;33.3;0.8;1.5;55.6;0.7;0.3;0.3;0.2;0.3;0;0
-;Trevor KeelsNY;G;3;2.7;1.0;0.3;1.3;25.0;0.3;1.3;25.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0;0
-;Wendell Moore Jr.MIN;G;29;5.3;1.4;0.6;1.5;41.9;0.1;0.6;11.8;0.1;0.2;80.0;0.6;0.6;0.3;0.2;0.3;0;0
-;Bryn ForbesMIN;SG;25;10.7;3.6;1.2;3.3;36.1;0.6;1.8;30.4;0.6;0.6;100.0;0.6;0.7;0.3;0.1;0.5;0;0
-;Malcolm HillCHI;F;5;1.8;1.0;0.4;0.8;50.0;0.2;0.6;33.3;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0;0
-;Buddy BoeheimDET;F;10;9.0;1.6;0.5;2.7;18.5;0.4;2.5;16.0;0.2;0.2;100.0;0.6;0.4;0.2;0.0;0.0;0;0
-;Leandro BolmaroUTAH;F;14;4.9;0.4;0.2;1.4;15.0;0.0;0.3;0.0;0.0;0.0;0.0;0.5;0.5;0.2;0.1;0.5;0;0
-;Keon EllisSAC;G;16;4.4;1.5;0.4;1.0;43.8;0.4;0.8;50.0;0.3;0.4;57.1;0.5;0.4;0.3;0.1;0.1;0;0
-;Joe WieskampTOR;SF;9;5.6;1.0;0.3;1.6;21.4;0.3;1.3;25.0;0.0;0.0;0.0;0.4;0.3;0.0;0.0;0.1;0;0
-;Matthew DellavedovaSAC;PG;32;6.7;1.5;0.5;1.6;34.0;0.3;0.8;33.3;0.1;0.2;57.1;0.4;1.3;0.2;0.0;0.3;0;0
-;Braxton KeyDET;G;3;3.0;1.3;0.3;0.3;100.0;0.0;0.0;0.0;0.7;0.7;100.0;0.3;0.0;0.0;0.0;0.0;0;0
-;Marko SimonovicCHI;C;7;2.9;0.9;0.3;1.0;28.6;0.1;0.6;25.0;0.1;0.3;50.0;0.3;0.0;0.0;0.0;0.0;0;0
-;Facundo CampazzoDAL;G;8;6.5;1.3;0.4;1.6;23.1;0.4;1.4;27.3;0.1;0.3;50.0;0.3;1.1;0.8;0.0;0.4;0;0
-;Dereon SeabronNO;G;5;2.4;0.8;0.4;1.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0;0
