;;;;;;;;;;;;;;;;;;;;;
POS;NOME;POS;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;REB;AST;STL;BLK;TO;DD2;TD3
77;Ja MorantMEM;PG;61;31.9;26.2;9.3;19.9;46.6;1.5;4.9;30.7;6.1;8.1;74.8;5.9;8.1;1.1;0.3;3.4;20;7
78;Anthony EdwardsMIN;SG;79;36.0;24.6;8.9;19.5;45.9;2.7;7.3;36.9;4.0;5.3;75.6;5.8;4.4;1.6;0.7;3.3;9;0
79;Russell WestbrookLAC/LAL;PG;73;29.1;15.9;5.9;13.6;43.6;1.2;3.9;31.1;2.8;4.3;65.6;5.8;7.5;1.0;0.5;3.5;24;4
80;Jalen SmithIND;PF;68;18.8;9.4;3.6;7.5;47.6;0.8;2.8;28.3;1.5;2.0;75.9;5.8;1.0;0.3;0.9;1.1;7;0
81;Bol BolORL;C;70;21.5;9.1;3.7;6.8;54.6;0.4;1.6;26.5;1.2;1.5;75.9;5.8;1.0;0.4;1.2;1.6;6;0
82;Thomas BryantLAL/DEN;C;59;18.3;9.8;3.9;6.3;62.3;0.4;1.0;44.1;1.6;2.1;73.8;5.7;0.5;0.3;0.5;0.6;9;0
83;Tobias HarrisPHI;PF;74;32.9;14.7;5.7;11.4;50.1;1.7;4.4;38.9;1.5;1.7;87.6;5.7;2.5;0.9;0.5;1.2;7;0
84;Daniel GaffordWSH;C;78;20.6;9.0;3.7;5.1;73.2;0.0;0.0;0.0;1.6;2.4;67.9;5.6;1.1;0.4;1.3;1.1;10;0
85;Chris BoucherTOR;PF;76;20.0;9.4;3.4;7.0;49.3;0.8;2.5;32.8;1.7;2.2;76.2;5.5;0.4;0.6;0.8;0.5;9;0
-;Brandon ClarkeMEM;PF;56;19.5;10.0;4.1;6.2;65.6;0.0;0.1;16.7;1.8;2.5;71.9;5.5;1.3;0.6;0.7;1.0;6;0
-;Charles BasseySA;C;35;14.5;5.7;2.5;3.9;64.4;0.1;0.2;37.5;0.6;1.1;59.5;5.5;1.3;0.5;0.9;1.2;0;0
88;Kenyon Martin Jr.HOU;F;82;28.0;12.7;5.0;8.8;56.9;0.8;2.6;31.5;1.8;2.7;68.0;5.5;1.5;0.5;0.4;1.1;5;0
89;Michael Porter Jr.DEN;SF;62;29.0;17.4;6.4;13.2;48.7;3.0;7.3;41.4;1.5;1.9;80.0;5.5;1.0;0.6;0.5;1.1;3;0
-;Brandon IngramNO;SF;45;34.2;24.7;9.0;18.6;48.4;1.4;3.6;39.0;5.3;6.0;88.2;5.5;5.8;0.7;0.4;3.3;6;2
